みます	check
さがします	look for,search
おくれます	be late
まに　あいます	be in time
やります	do
かんかします	attend
もうしこみます	apply for,enter for
つごうが　いい	convenient
つごうが　わるい	inconvenient
きぶんが　いい	feel well
きぶんが　わるい	fell ill
しんぶんしゃ	newspaper publication
じゅうどう	judo
うんどうかい	athletic meeting
ばしょ	place
ボランテイア	volunteer
～べん	~dialect
こんど	next time
ずいぶん	pretty
ちょくせつ	directly
いつでも	any time
どこでも	anywhere
だれでも	anybody
なんでも	anything
こんな	like this
そんな	like that
あんな	like that over there
こどものひ	children's day
ニドアストア	fictitious store
かたづきます	put in order(box)
ごみ	garbage
だします	put out(garbage)
もえます	burn(garbage)
げつ。すい。きん	monday.wednesday.friday
おきば	place where something is put
よこ	side
びん	bottle
かん	can
おゆ	hot water
ガス	gas
かいしゃ	company
れんらくします	contact
こまったなあ	what shall i do?
でんしメール	electronic mail
うちゃう	space, universe
こわい	be afraid
うちゅせん	spaceship
べつの	another
うちゅうひこうし	astronaut
どいたかお	japanese astonaut
