うれます	sell
おどります	dance
かみます	chew,bite(dog bite)
えらびます	choose(exam paper)
ちがいます	be different
かよいます	go to from(daily commute)
まじめ	serios(compliment)
ねっしん	earnest
やさしい	gentle
えらい	great
ちょうど　いい	proper,just right
しゅうかん	custom
けいけん	experience
ちから	power
にんき	popularity
かたら	form,shape
いろ	color
あじ	taste
ガム	chewing gum
しなもの	goods
ねだん	price
きゅうりょう	salary
ボーナス	bonus
ばんぐみ	program
ドラマ	drama
しょうせつ	novel
しょうせつか	novelist
かしゅ	singer
なんりにん	concerned person
むすこ	my son
むすこさん	son (someone else's)
むすめ	my daughter
むすめさん	daughter(someone else's)
じぶん	oneself
しょうらい	future
しばらく	a little while
たいてい	usually,mostly
それに	in addition
それで	and so
かいわ	conversation
おしゃべりします	chat
ひにち	date
ど	saturday
たいいくかん	gymnasium
むりょう	free of charge
