はります	put up,post,paste
かけます	hang
かざります	display,decorate
ならべます	arrange,line up
うえます	plant
もどします	put back
まとめます	put together
なたづけます	put things in order,tidy up
しまいます	put things in their proper positon
きめます	decide
しらせます	inform
そうだんします	consult
よしゅうします	prepare one's lesson
ふくしゅうします	review one's lesson
ぞのままに　します	leave things as they are
おこさん	(someone else's)child
じゅぎょう	class
こうぎ	lecture
ミーテイング	meeting
よてい	plan,shedule
おしらせ	notice
あんないしょ	guide book
ケレンダー	calendar
ごみばこ	trash can
にんぎょう	doll
かびん	vase
かがみ	mirror
ひきだし	drawer
げんかん	front door,porch
ろうか	corridore
かべ	wall
いけ	pond
こうばん	police box
もとの　ところ	original place
まれり	round
まんなか	center
すみ	corner
まだ	still
～ほど	about~
よていひょう	shedule
ごくろうさま	thanks you for your hardwork
きぼう	hope
なにか　ごきぼうが　ありますか	do you have any request?
それは　いいですね	that's good idea
まるい	round
つき	moon
ある	one~,certain~
ちきゅう	earth
うれしい	glad,happy
いや	hateful
すると	and,then
めが　さめます	wake up
