おきます	get up
ねます	sleep
はたらきます	work
やすみます	take rest
べんきょうします	studing
おわります	finish
デパート	department store
ぎんこう	bank
ゆうびんきょく	post office
としょかん	library
びじゅつかん	art museum
いま	now
ーじ	- o' clock
ーふん　ーぷん	- minute
はん	half
なんじ	what time
なんぷん	what minute
ごぜん	a.m. , morning
ごご	p.m. , afternoon
あさ	morning
ひる	daytime, Noon
ばん	night
おととい	the day before yesterday
きのう	yesterday
きょう	today
あした	tomorrow
あさって	the day after tomorrow
けさ	this morning
こんばん	this evening
やすみ	rest
ひるやすみ	lunch time
まいあさ	every morning
まいばん	every night
まいにち	every day
げつようび	monday
かようび	tuesday
すいようび	wednesday
もくようび	thursday
きんようび	friday
どようび	saturday
にちようび	sunday
なんようび	what day of the week
ぼんごう	number
なんばん	what number
から	form ~
まで	until ~
と	and
そちら	your place
たいへんですね	that's tough
えーと	well , let me see
いち　れい　よん	information, directory assistance
おねがいしまし	please
かしこまりました	certainly
おといあれせのばんごう	the number beig inquire about
どうもありがとうございました	thank you very much
いきます	go
きます	come
かえります	go home
がっこう	school
スーパー	supermaket
えき	station
ひこうき	airplan
ふね	ship
でんしゃ	electric train
ちかてつ	subway
しんかんせん	the shinkansen
バス	bus
タクシー	taxi
じでんしゃ	bicycle
あるいて	on foot
ひと	person
ともだち	friend
かれ	he
かのじょ	she
かぞく	family
ひとりて	alone
せんしゅう	last week
こんしゅう	this week
らいしゅう	next week
せんげつ	last month
こんげつ	this month
らいげつ	next month
きょねん	last year
ことし	this year
らいねん	next year
ーがつ	the month of the year
なんがつ	what month
なんにち	which day of the month
いつ	when
たんじょうび	birthday
ふつう	local train
きゅうこう	rapid
とっきゅう	express
つぎの	next
どういたしまして	you're welcome
ー　ばんせん	-th platform
たべます	eat
のみます	drink
すいます	smoke
みます	see
ききます	hear
よみます	read
かきます	write
かいます	buy
とります	take
します	do
あいます	meet
ごはん	meal
あさごはん	breakfast
ひるごはん	lunch
ばんごはん	supper
パン	bread
たまご	egg
にく	meat
さかな	fish
やさい	vegitable
くだもの	fruit
みず	water
おちゃ	tea
こうちゃ	black tea
ぎゅうにゅう	milk
ジュース	juice
ビール	beer
ビヂオ	video
えいが	movie
ＣＤ	CD
てがみ	letter
レポート	report
しゃしん	photograph
みせ	store
レストラン	restaurant
にわ	garden
しゅくだい	homework
テニス	tennis
サッカー	soccer
おはなみ	cherry-blossom
なに	what
いっしょに	together
ちよっと	a little while
いつも	always
ときどき	sometimes
それから	after that
ええ	yes
いいですね	thats good
わかりました	i see
なんですか	yes?
じゃ、またあした	see you tomorrow
きります	Cut
おくります	Send
あげます	Give
もらいます	Receive
かします	Lend
かります	Borrow
おしえます	Teach
かけます	Make
でんわをかけます	Make a telephone call
て	Hand
はし	Chopsticks
スプーン	spoon
ナイフ	knife
ヒョクス	fork
はさみ	Scissors
ファクス	fax
ワープロ	word processor
パサゴン	personal computer
パンチ	punch
ホッチキス	stapler
