enjoy oneself,chilling out	あそびます
swim	およぎます
go to meet, welcome	むかえます
get tired	つかれます
send	だします
enter	はいります
go out	でます
marry	けっこんします
do shopping	かいものします
have a meal, dine	しょくじします
take a walk	さんぽします
hard,tough,severe,awful	たいへん
want	ほしい
lonely	さびしい
wide,spacious	ひろい
narrow,small	せまい
municipal office	しやくしょ
swimming pool	プール
river	かわ
economy	けいざい
fine arts	びじゅつ
fishing	つり
skiing	スキー
meeting, conference	かいぎ
registeration	とうろく
weekend	しゅうまつ
about(time)	ごろ
something	なにか
somewhere,some place	どこか
(I'm) hungry	おなかが　すきました
(I'm) full	おなかが　いっぱいです
(I'm) thirsty	のどが　かわきました
I agree with you	そうですね
let's do that	そう　しましょう
may i take your order?	ごちゅうもん　は　？
set meal	ていしょく
bowl of rice topped with beef	ぎゅうどん
[a moment] please wait	「しょうしょう」　おまちください
separately	べつべつ
