turn on	つけます
turn off	けします
open	あけます
close, shut	しめます
hurry	いそぎます
wait	まちます
stop, park	とめます
turn	まがります
hold	もちます
take, pass	とります
help (with a task)	てつだいます
call	よびます
speak, talk	はなします
show	みせます
tell	おしえます
start, begin	はじめます
rain	ふります
copy	コピーします
air conditioner	エアコン
passport	パスポート
name	なまえ
address	じゅうしょ
map	ちず
salt	しお
sugar	さとう
how to read, way of rading	よもかた
how to ~	～かた
slowly,lesurely	ゆっくり
immediately	すぐ
again	また
later	あとで
a little more	もう　すこし
~ more	もう～
sure,/certainly	いいですよ
right	さあ
oh!	あれ？
turn to the right at the signal.	しんこう　を　みぎ　へ　まがって　ください
staright	まっすぐ
I'd like to play with this.	これで　おねがいしま
change	おつり
