あそびます	あそんで，Chill out　1
およぎます	およいで，Swim　1
むかえます	むかえて，Go to meet　2
つかれます	つかれて，Tierd　2
だします	だして，Send　1
はいります	はいって，Enter　1
でます	でて，Exit　2
けっこんします	けっこんして，，Get married　1
かいものします	かいものして，Do shopping　3
しょくじします	しょくじして，To eat　1
さんぽします	さんぽして，Take a walk　1
つけます	つけて，Turn on　2
けします	けして，Turn off　1
あけます	あけて，Open　2
しめます	しめて，Close　2
いそぎます	いそいで，Hurry　1
まちます	まって，Wait　1
とめます	とめて，Park　2
まがります	まがって，Turn　1
もちます	もって，Hold　1
とります	とって，Take　1
てつだいます	てつだって，Help　1
よびます	よんで，Call　1
はなします	はなして，Talk　1
みせます	みせて，Show　2
おしえます	おしえて，Tell　2
はじめます	はじめて，begin　2
ふります	ふって，Fall　1
コピーします	コピーして，Copy　3
たちます	たって，Stand up　1
すわります	すわって，Sit down　1
つかいます	つかって，Use　1
おきます＊	おいて，Put　1
つくります	つくって，make　1
うります	うって，，Sell　1
しります	しって，Get to know　1
けんきゅうします	けんきゅうして，Do research　1
おもいだします	おもいだして，Remember 　1
いらっしゃいます	いらっしゃって，Be 　1
おります	おって，Get off(Train)　1
あびます＊	あびて，take (a shower)　2
いれます	いれて，Put in, insert　2
だします	だして，Take out, withdraw　1
はいります	はいって，Enter(university)　1
でます	でて,Graduate from(university)　2
やめます	やめて，Stop　2
おします	おして，Push　1
